,Country or Subregion,Serotype,Year,Dengue Cases,Incidence Rate,Severe Dengue Cases,Severe Dengue Rate,Deaths,Dengue Death Rate,Population X 1000
0,Bolivia,"DEN 1,2",2019,19987,178.2,102,0.51,30,0.15,11216
1,Bolivia,"DEN 1,2",2020,111347,992.75,696,0.63,41,0.037,11216
2,Bolivia,"DEN 1,2",2021,8947,75.61,21,0.23,2,0.022,11833
3,Bolivia,"DEN 1,2",2022,16544,139.81,63,0.38,10,0.06,11833
4,Bolivia,"DEN 1,2",2023,156774,1324.89,733,0.47,88,0.056,11833
5,Bolivia,"DEN 1,2",2024,36747,310.55,162,0.44,14,0.038,11833
6,Bolivia,"DEN 1,2,3",2018,7597,67.73,60,0.79,6,0.079,11216
7,Bolivia,"DEN 1,2,4",2016,32386,297.45,61,0.19,2,0.006,10888
8,Bolivia,"DEN 1,3",2017,9923,89.78,66,0.67,2,0.02,11052
9,Bolivia,"DEN 1,4",2015,27099,245.8,86,0.32,1,0.004,11025
10,Bolivia,DEN 4,2014,23471,216.36,380,1.62,0,0.0,10848
11,Colombia,  ,2024,157097,306.44,1423,0.91,70,0.045,51266
12,Colombia,"DEN 1,2,3",2017,25284,51.53,236,0.93,15,0.059,49066
13,Colombia,"DEN 1,2,3",2018,44825,90.62,526,1.17,23,0.051,49465
14,Colombia,"DEN 1,2,3",2019,127553,257.87,1406,1.1,87,0.068,49465
15,Colombia,"DEN 1,2,3,4",2014,107975,220.67,2619,2.43,88,0.082,48930
16,Colombia,"DEN 1,2,3,4",2015,96444,194.72,1421,1.47,155,0.161,49529
17,Colombia,"DEN 1,2,3,4",2016,101016,207.62,899,0.89,60,0.059,48654
18,Colombia,"DEN 1,2,3,4",2020,78979,159.67,897,1.14,55,0.07,49465
19,Colombia,"DEN 1,2,3,4",2021,53334,104.03,958,1.8,43,0.081,51266
20,Colombia,"DEN 1,2,3,4",2022,69497,135.56,1371,1.97,48,0.069,51266
21,Colombia,"DEN 1,2,3,4",2023,131784,257.06,1714,1.3,90,0.068,51266
22,Ecuador,  ,2024,27063,151.29,120,0.44,31,0.115,17888
23,Ecuador,DEN 1,2018,3099,18.38,6,0.19,1,0.032,16863
24,Ecuador,"DEN 1,2",2019,8416,49.91,38,0.45,2,0.024,16863
25,Ecuador,"DEN 1,2",2020,19950,118.31,51,0.26,6,0.03,16863
26,Ecuador,"DEN 1,2",2021,20592,115.12,79,0.38,19,0.092,17888
27,Ecuador,"DEN 1,2",2022,16017,89.54,109,0.68,13,0.081,17888
28,Ecuador,"DEN 1,2",2023,27838,155.62,112,0.4,33,0.119,17888
29,Ecuador,"DEN 1,2,3,4",2014,15531,97.17,67,0.43,12,0.077,15983
30,Ecuador,"DEN 1,2,3,4",2015,42473,261.76,56,0.13,8,0.019,16226
31,Ecuador,"DEN 1,2,4",2016,14159,86.41,39,0.28,4,0.028,16385
32,Ecuador,"DEN 1,4",2017,11387,68.49,18,0.16,4,0.035,16625
33,Peru,"DEN 1,2",2020,56394,173.24,122,0.22,88,0.156,32552
34,Peru,"DEN 1,2",2021,49274,147.71,143,0.29,39,0.079,33359
35,Peru,"DEN 1,2",2022,72851,218.38,229,0.31,84,0.115,33359
36,Peru,"DEN 1,2,3",2023,274227,822.05,1055,0.38,441,0.161,33359
37,Peru,"DEN 1,2,3",2024,247243,741.16,683,0.28,203,0.082,33359
38,Peru,"DEN 1,2,3,4",2014,19043,61.89,95,0.5,31,0.163,30769
39,Peru,"DEN 1,2,3,4",2015,35837,115.01,123,0.34,41,0.114,31161
40,Peru,"DEN 1,2,3,4",2016,31868,100.3,124,0.39,37,0.116,31774
41,Peru,"DEN 1,2,3,4",2017,76093,236.57,251,0.33,76,0.1,32165
42,Peru,"DEN 1,2,3,4",2019,17143,52.66,163,0.95,37,0.216,32552
43,Peru,"DEN 2,4",2018,6930,21.29,65,0.94,15,0.216,32552
44,Venezuela,DEN 1,2017,8615,26.94,359,4.17,16,0.186,31977
45,Venezuela,"DEN 1,2,3",2018,19118,59.04,101,0.53,24,0.126,32381
46,Venezuela,"DEN 1,2,3",2019,16015,49.46,70,0.44,23,0.144,32381
47,Venezuela,"DEN 1,2,3",2020,6721,20.76,31,0.46,14,0.208,32381
48,Venezuela,"DEN 1,2,3",2021,5926,20.64,29,0.49,8,0.135,28705
49,Venezuela,"DEN 1,2,3,4",2014,87529,283.72,221,0.25,0,0.0,30851
50,Venezuela,"DEN 1,2,3,4",2015,54152,173.05,282,0.52,90,0.166,31293
51,Venezuela,"DEN 1,2,3,4",2016,29268,92.86,115,0.39,39,0.133,31519
52,Venezuela,"DEN 1,2,3,4",2022,11409,39.75,43,0.38,18,0.158,28705
53,Venezuela,"DEN 1,2,3,4",2023,4809,16.75,17,0.35,8,0.166,28705
54,Argentina,DEN 1,2018,1829,4.09,3,0.16,0,0.0,44689
55,Argentina,"DEN 1,2",2022,841,1.84,4,0.48,0,0.0,45606
56,Argentina,"DEN 1,2,3",2023,146876,322.05,261,0.18,75,0.051,45606
57,Argentina,"DEN 1,2,3",2024,498091,1092.16,722,0.14,343,0.069,45606
58,Argentina,"DEN 1,2,4",2020,59358,132.82,87,0.15,19,0.032,44689
59,Argentina,"DEN 1,2,4",2021,3972,8.71,0,0.0,0,0.0,45606
60,Argentina,"DEN 1,3",2017,557,1.26,7,1.26,0,0.0,44271
61,Argentina,"DEN 1,4",2014,3270,7.82,0,0.0,0,0.0,41803
62,Argentina,"DEN 1,4",2015,4774,11.32,3,0.06,0,0.0,42155
63,Argentina,"DEN 1,4",2016,79455,181.21,30,0.04,10,0.013,43847
64,Argentina,"DEN 1,4",2019,3220,7.21,9,0.28,0,0.0,44689
65,Brazil,"DEN 1,2",2021,975474,455.84,371,0.04,239,0.025,213993
66,Brazil,"DEN 1,2,3,4",2014,591080,292.56,689,0.12,410,0.069,202034
67,Brazil,"DEN 1,2,3,4",2015,1649008,809.7,1569,0.1,863,0.052,203657
68,Brazil,"DEN 1,2,3,4",2016,2220482,1059.55,931,0.04,707,0.032,209568
69,Brazil,"DEN 1,2,3,4",2017,505239,241.41,276,0.05,144,0.029,209288
70,Brazil,"DEN 1,2,3,4",2018,462326,219.25,323,0.07,160,0.035,210868
71,Brazil,"DEN 1,2,3,4",2019,2248570,1078.48,1487,0.07,840,0.037,208495
72,Brazil,"DEN 1,2,3,4",2020,1467142,703.68,828,0.06,554,0.038,208495
